timestamp, index, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
2026/05/29 23:08:23.497, 1, 0, 0, 56811
2026/05/29 23:08:23.498, 2, 0, 0, 56763
2026/05/29 23:08:23.499, 3, 98, 66, 56811
2026/05/29 23:08:24.501, 0, 0, 0, 56763
2026/05/29 23:08:24.502, 1, 0, 0, 56811
2026/05/29 23:08:24.503, 2, 0, 0, 56763
2026/05/29 23:08:24.504, 3, 0, 0, 56811
2026/05/29 23:08:25.505, 0, 0, 0, 56763
2026/05/29 23:08:25.507, 1, 0, 0, 56811
2026/05/29 23:08:25.508, 2, 0, 0, 56763
2026/05/29 23:08:25.509, 3, 0, 0, 56811
2026/05/29 23:08:26.510, 0, 0, 0, 56763
2026/05/29 23:08:26.512, 1, 0, 0, 56811
2026/05/29 23:08:26.513, 2, 0, 0, 56763
2026/05/29 23:08:26.514, 3, 0, 0, 56811
2026/05/29 23:08:27.515, 0, 0, 0, 56763
2026/05/29 23:08:27.516, 1, 94, 75, 56811
2026/05/29 23:08:27.518, 2, 98, 70, 56763
2026/05/29 23:08:27.520, 3, 0, 0, 56811
2026/05/29 23:08:28.521, 0, 90, 66, 56763
2026/05/29 23:08:28.524, 1, 55, 44, 56811
2026/05/29 23:08:28.525, 2, 92, 67, 56763
2026/05/29 23:08:28.527, 3, 95, 66, 56811
2026/05/29 23:08:29.528, 0, 52, 48, 59145
2026/05/29 23:08:29.530, 1, 100, 0, 59193
2026/05/29 23:08:29.532, 2, 100, 0, 59145
2026/05/29 23:08:29.533, 3, 100, 0, 59193
2026/05/29 23:08:30.535, 0, 0, 0, 59145
2026/05/29 23:08:30.543, 1, 0, 0, 59193
2026/05/29 23:08:30.544, 2, 0, 0, 59145
2026/05/29 23:08:30.546, 3, 0, 0, 59193
2026/05/29 23:08:31.547, 0, 0, 0, 59145
2026/05/29 23:08:31.548, 1, 0, 0, 59193
2026/05/29 23:08:31.549, 2, 0, 0, 59145
2026/05/29 23:08:31.550, 3, 0, 0, 59193
2026/05/29 23:08:32.551, 0, 0, 0, 59145
2026/05/29 23:08:32.553, 1, 0, 0, 59193
2026/05/29 23:08:32.554, 2, 0, 0, 59145
2026/05/29 23:08:32.555, 3, 0, 0, 59193
2026/05/29 23:08:33.556, 0, 0, 0, 59145
2026/05/29 23:08:33.558, 1, 0, 0, 59193
2026/05/29 23:08:33.559, 2, 0, 0, 59145
2026/05/29 23:08:33.560, 3, 0, 0, 59193
2026/05/29 23:08:34.561, 0, 0, 0, 59145
2026/05/29 23:08:34.562, 1, 0, 0, 59193
2026/05/29 23:08:34.563, 2, 0, 0, 59145
2026/05/29 23:08:34.564, 3, 0, 0, 59193
2026/05/29 23:08:35.565, 0, 0, 0, 59145
2026/05/29 23:08:35.566, 1, 0, 0, 59193
2026/05/29 23:08:35.567, 2, 0, 0, 59145
2026/05/29 23:08:35.575, 3, 0, 0, 59193
2026/05/29 23:08:36.583, 0, 0, 0, 59145
2026/05/29 23:08:36.584, 1, 0, 0, 59193
2026/05/29 23:08:36.585, 2, 0, 0, 59145
2026/05/29 23:08:36.586, 3, 0, 0, 59193
2026/05/29 23:08:37.587, 0, 0, 0, 59145
2026/05/29 23:08:37.588, 1, 0, 0, 59193
2026/05/29 23:08:37.589, 2, 0, 0, 59145
2026/05/29 23:08:37.590, 3, 0, 0, 59193
2026/05/29 23:08:38.592, 0, 0, 0, 59145
2026/05/29 23:08:38.593, 1, 0, 0, 59193
2026/05/29 23:08:38.594, 2, 0, 0, 59145
2026/05/29 23:08:38.595, 3, 0, 0, 59193
2026/05/29 23:08:39.597, 0, 0, 0, 59145
2026/05/29 23:08:39.598, 1, 0, 0, 59193
2026/05/29 23:08:39.599, 2, 0, 0, 59145
2026/05/29 23:08:39.600, 3, 0, 0, 59193
2026/05/29 23:08:40.601, 0, 0, 0, 59145
2026/05/29 23:08:40.602, 1, 0, 0, 59193
2026/05/29 23:08:40.603, 2, 0, 0, 59145
2026/05/29 23:08:40.605, 3, 0, 0, 59195
2026/05/29 23:08:41.606, 0, 0, 0, 59145
2026/05/29 23:08:41.607, 1, 0, 0, 59193
2026/05/29 23:08:41.608, 2, 0, 0, 59145
2026/05/29 23:08:41.609, 3, 0, 0, 59195
2026/05/29 23:08:42.610, 0, 0, 0, 59147
2026/05/29 23:08:42.611, 1, 0, 0, 59195
2026/05/29 23:08:42.613, 2, 0, 0, 59145
2026/05/29 23:08:42.614, 3, 0, 0, 59195
2026/05/29 23:08:43.615, 0, 0, 0, 59147
2026/05/29 23:08:43.616, 1, 0, 0, 59195
2026/05/29 23:08:43.617, 2, 0, 0, 59147
2026/05/29 23:08:43.618, 3, 0, 0, 59195
2026/05/29 23:08:44.619, 0, 0, 0, 59147
2026/05/29 23:08:44.621, 1, 0, 0, 59195
2026/05/29 23:08:44.622, 2, 0, 0, 59147
2026/05/29 23:08:44.623, 3, 0, 0, 59195
2026/05/29 23:08:45.624, 0, 0, 0, 59147
2026/05/29 23:08:45.625, 1, 0, 0, 59195
2026/05/29 23:08:45.626, 2, 0, 0, 59147
2026/05/29 23:08:45.628, 3, 0, 0, 59195
2026/05/29 23:08:46.629, 0, 0, 0, 59149
2026/05/29 23:08:46.631, 1, 0, 0, 59195
2026/05/29 23:08:46.632, 2, 0, 0, 59149
2026/05/29 23:08:46.633, 3, 0, 0, 59197
2026/05/29 23:08:47.634, 0, 0, 0, 59149
2026/05/29 23:08:47.644, 1, 0, 0, 59197
2026/05/29 23:08:47.645, 2, 0, 0, 59149
2026/05/29 23:08:47.646, 3, 0, 0, 59197
2026/05/29 23:08:48.648, 0, 0, 0, 59149
2026/05/29 23:08:48.649, 1, 0, 0, 59197
2026/05/29 23:08:48.650, 2, 0, 0, 59149
2026/05/29 23:08:48.651, 3, 0, 0, 59197
2026/05/29 23:08:49.652, 0, 0, 0, 59149
2026/05/29 23:08:49.654, 1, 0, 0, 59197
2026/05/29 23:08:49.655, 2, 0, 0, 59149
2026/05/29 23:08:49.656, 3, 0, 0, 59197
2026/05/29 23:08:50.657, 0, 0, 0, 59149
2026/05/29 23:08:50.658, 1, 0, 0, 59197
2026/05/29 23:08:50.659, 2, 0, 0, 59149
2026/05/29 23:08:50.660, 3, 0, 0, 59197
2026/05/29 23:08:51.661, 0, 0, 0, 59149
2026/05/29 23:08:51.663, 1, 0, 0, 59197
2026/05/29 23:08:51.664, 2, 0, 0, 59149
2026/05/29 23:08:51.665, 3, 0, 0, 59199
2026/05/29 23:08:52.666, 0, 0, 0, 59151
2026/05/29 23:08:52.667, 1, 0, 0, 59197
2026/05/29 23:08:52.668, 2, 0, 0, 59149
2026/05/29 23:08:52.678, 3, 0, 0, 59199
2026/05/29 23:08:53.682, 0, 0, 0, 59151
2026/05/29 23:08:53.683, 1, 0, 0, 59199
2026/05/29 23:08:53.684, 2, 0, 0, 59151
2026/05/29 23:08:53.685, 3, 0, 0, 59199
2026/05/29 23:08:54.686, 0, 0, 0, 59151
2026/05/29 23:08:54.687, 1, 0, 0, 59199
2026/05/29 23:08:54.689, 2, 0, 0, 59151
2026/05/29 23:08:54.690, 3, 0, 0, 59199
2026/05/29 23:08:55.691, 0, 0, 0, 59151
2026/05/29 23:08:55.692, 1, 0, 0, 59199
2026/05/29 23:08:55.693, 2, 0, 0, 59151
2026/05/29 23:08:55.694, 3, 0, 0, 59201
2026/05/29 23:08:56.695, 0, 0, 0, 59153
2026/05/29 23:08:56.697, 1, 0, 0, 59201
2026/05/29 23:08:56.698, 2, 0, 0, 59153
